Year,Month,Day,Hour (UTC),Minute,Second,CentiSecond,Millis,NumSat,HDOP,LAT,LNG,ALTFT,MPH
2021,5,23,12,49,14,40,200553,6,1.41,38.209392,-85.762084,457.02102599999995,0.046031
2021,5,23,12,49,14,40,200982,6,1.41,38.209392,-85.762084,457.02102599999995,0.046031
2021,5,23,12,49,14,40,201412,6,1.41,38.209392,-85.762084,457.02102599999995,0.046031
2021,5,23,12,49,14,40,201763,6,1.41,38.209392,-85.762084,457.02102599999995,0.046031
2021,5,23,12,49,14,40,202144,6,1.41,38.209392,-85.762084,457.02102599999995,0.046031
2021,5,23,12,49,14,40,202463,6,1.41,38.209392,-85.762084,457.02102599999995,0.046031
2021,5,23,12,49,14,40,202868,6,1.41,38.209392,-85.762084,457.02102599999995,0.046031
2021,5,23,12,49,17,20,203261,6,1.41,38.209392,-85.762084,457.02102599999995,0.011508
2021,5,23,12,49,17,20,203583,6,1.41,38.209392,-85.762084,457.02102599999995,0.011508
2021,5,23,12,49,18,0,203985,6,1.41,38.209392,-85.762084,457.02102599999995,0.046031
2021,5,23,12,49,18,0,204306,6,1.41,38.209392,-85.762084,457.02102599999995,0.046031
2021,5,23,12,49,18,0,204772,6,1.41,38.209392,-85.762084,457.02102599999995,0.046031
2021,5,23,12,49,18,0,205201,6,1.41,38.209392,-85.762084,457.02102599999995,0.046031
2021,5,23,12,49,18,0,205632,6,1.41,38.209392,-85.762084,457.02102599999995,0.046031
2021,5,23,12,49,20,0,206053,6,1.41,38.209392,-85.762084,457.02102599999995,0.161109
2021,5,23,12,49,20,0,206371,6,1.41,38.209392,-85.762084,457.02102599999995,0.161109
2021,5,23,12,49,20,0,206761,6,1.41,38.209392,-85.762084,457.02102599999995,0.161109
2021,5,23,12,49,21,0,207191,6,1.41,38.209392,-85.762084,451.77163600000006,0.161109
2021,5,23,12,49,21,0,207517,6,1.41,38.209392,-85.762084,451.77163600000006,0.161109
2021,5,23,12,49,21,0,207887,6,1.41,38.209392,-85.762084,451.77163600000006,0.161109
2021,5,23,12,49,21,0,208283,6,1.41,38.209392,-85.762084,451.77163600000006,0.161109
2021,5,23,12,49,22,60,208728,6,1.41,38.209392,-85.762084,451.77163600000006,0.046031
2021,5,23,12,49,22,60,209048,6,1.41,38.209392,-85.762084,451.77163600000006,0.046031
2021,5,23,12,49,22,60,209466,6,1.41,38.209392,-85.762084,451.77163600000006,0.046031
2021,5,23,12,49,22,60,209873,6,1.41,38.209392,-85.762084,451.77163600000006,0.046031
2021,5,23,12,49,22,60,210251,6,1.41,38.209392,-85.762084,451.77163600000006,0.046031
2021,5,23,12,49,22,60,210618,6,1.41,38.209392,-85.762084,451.77163600000006,0.046031
2021,5,23,12,49,22,60,211048,6,1.41,38.209392,-85.762084,451.77163600000006,0.046031
2021,5,23,12,49,25,20,211434,6,1.41,38.209392,-85.762084,451.77163600000006,0.057539
2021,5,23,12,49,25,20,211755,6,1.41,38.209392,-85.762084,451.77163600000006,0.057539
2021,5,23,12,49,25,20,212170,6,1.41,38.209392,-85.762084,451.77163600000006,0.057539
2021,5,23,12,49,25,20,212521,6,1.41,38.209392,-85.762084,451.77163600000006,0.057539
2021,5,23,12,49,25,20,212890,6,1.41,38.209392,-85.762084,451.77163600000006,0.057539
2021,5,23,12,49,25,20,213241,6,1.41,38.209392,-85.762084,451.77163600000006,0.057539
2021,5,23,12,49,25,20,213627,6,1.41,38.209392,-85.762084,451.77163600000006,0.057539
2021,5,23,12,49,28,0,214072,6,1.41,38.209392,-85.762084,451.77163600000006,0.057539
2021,5,23,12,49,28,0,214421,6,1.41,38.209392,-85.762084,451.77163600000006,0.057539
2021,5,23,12,49,28,0,214798,6,1.41,38.209392,-85.762084,451.77163600000006,0.057539
2021,5,23,12,49,28,0,215227,6,1.41,38.209392,-85.762084,451.77163600000006,0.057539
2021,5,23,12,49,28,0,215592,6,1.41,38.209392,-85.762084,451.77163600000006,0.057539
2021,5,23,12,49,29,80,215988,6,1.41,38.209392,-85.762084,451.77163600000006,0.046031
2021,5,23,12,49,30,20,216375,6,1.41,38.209392,-85.762084,451.77163600000006,0.034523000000000005
2021,5,23,12,49,30,20,216725,6,1.41,38.209392,-85.762084,451.77163600000006,0.034523000000000005
2021,5,23,12,49,30,20,217160,6,1.41,38.209392,-85.762084,451.77163600000006,0.034523000000000005
2021,5,23,12,49,30,20,217581,6,1.41,38.209392,-85.762084,451.77163600000006,0.034523000000000005
2021,5,23,12,49,30,20,217945,6,1.41,38.209392,-85.762084,451.77163600000006,0.034523000000000005
2021,5,23,12,49,32,20,218339,6,1.41,38.209392,-85.762084,451.77163600000006,0.069047
2021,5,23,12,49,32,20,218659,6,1.41,38.209392,-85.762084,451.77163600000006,0.069047
2021,5,23,12,49,32,20,219094,6,1.41,38.209392,-85.762084,451.77163600000006,0.069047
2021,5,23,12,49,32,20,219494,6,1.41,38.209392,-85.762084,451.77163600000006,0.069047
2021,5,23,12,49,32,20,219917,6,1.41,38.209392,-85.762084,451.77163600000006,0.069047
2021,5,23,12,49,34,20,220315,6,1.41,38.209392,-85.762084,451.77163600000006,0.069047
2021,5,23,12,49,34,20,220635,6,1.41,38.209392,-85.762084,451.77163600000006,0.069047
2021,5,23,12,49,34,20,220999,6,1.41,38.209392,-85.762084,451.77163600000006,0.069047
2021,5,23,12,49,34,20,221390,6,1.41,38.209392,-85.762084,451.77163600000006,0.069047
2021,5,23,12,49,34,20,221851,6,1.41,38.209392,-85.762084,451.77163600000006,0.069047
2021,5,23,12,49,36,0,222304,6,1.41,38.209392,-85.762077,451.77163600000006,0.115078
2021,5,23,12,49,36,0,222624,6,1.41,38.209392,-85.762077,451.77163600000006,0.115078
2021,5,23,12,49,36,0,223026,6,1.41,38.209392,-85.762077,451.77163600000006,0.115078
2021,5,23,12,49,37,20,223427,6,1.41,38.209392,-85.762077,451.77163600000006,0.149601
2021,5,23,12,49,37,20,223747,6,1.41,38.209392,-85.762077,451.77163600000006,0.149601
2021,5,23,12,49,37,80,224197,6,1.41,38.209392,-85.762077,451.77163600000006,0.092062
2021,5,23,12,49,37,80,224516,6,1.41,38.209392,-85.762077,451.77163600000006,0.092062
2021,5,23,12,49,38,60,224898,6,1.41,38.209392,-85.762084,451.77163600000006,0.20714000000000002
2021,5,23,12,49,38,60,225217,6,1.41,38.209392,-85.762084,451.77163600000006,0.20714000000000002
2021,5,23,12,49,38,60,225653,6,1.41,38.209392,-85.762084,451.77163600000006,0.20714000000000002
2021,5,23,12,49,38,60,226011,6,1.41,38.209392,-85.762084,451.77163600000006,0.20714000000000002
2021,5,23,12,49,38,60,226448,6,1.41,38.209392,-85.762084,451.77163600000006,0.20714000000000002
2021,5,23,12,49,38,60,226839,6,1.41,38.209392,-85.762084,451.77163600000006,0.20714000000000002
2021,5,23,12,49,38,60,227210,6,1.41,38.209392,-85.762084,451.77163600000006,0.20714000000000002
2021,5,23,12,49,38,60,227591,6,1.41,38.209392,-85.762084,451.77163600000006,0.20714000000000002
2021,5,23,12,49,38,60,227991,6,1.41,38.209392,-85.762084,451.77163600000006,0.20714000000000002
2021,5,23,12,49,38,60,228361,6,1.41,38.209392,-85.762084,451.77163600000006,0.20714000000000002
2021,5,23,12,49,38,60,228745,6,1.41,38.209392,-85.762084,451.77163600000006,0.20714000000000002
