time,LP1,LP2,LP3,LP4,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,temp
742,4066,4055,4066,4066,0,-63,0,-50,-8,-63,-1
747,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
752,4065,4054,4064,4066,0,0,0,-50,-8,-63,-1
757,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
762,4066,4054,4065,4065,0,0,0,-50,-8,-63,-1
767,4065,4055,4065,4067,0,0,0,-50,-8,-63,-1
772,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
776,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
781,4065,4054,4066,4066,-63,0,0,-50,-8,-63,-1
787,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
792,4065,4055,4065,4066,-63,0,0,-50,-8,-63,-1
797,4067,4055,4066,4067,0,0,0,-50,-8,-63,-1
802,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
807,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
812,4065,4055,4065,4066,-63,0,0,-50,-8,-63,-1
816,4066,4055,4066,4067,-63,0,0,-50,-8,-63,-1
821,4065,4055,4065,4066,-63,0,0,-50,-8,-63,-1
827,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
832,4065,4055,4065,4066,0,-63,0,-50,-8,-63,-1
837,4066,4055,4066,4066,0,0,0,-50,-8,-63,-1
842,4065,4055,4064,4066,0,0,0,-50,-8,-63,-1
847,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
852,4064,4055,4065,4065,-63,0,0,-50,-8,-63,-1
856,4065,4054,4065,4065,0,0,0,-50,-8,-63,-1
861,4065,4055,4064,4066,0,0,-63,-50,-8,-63,-1
866,4067,4055,4065,4066,-63,0,0,-50,-8,-63,-1
872,4065,4054,4066,4066,-63,0,0,-50,-8,-63,-1
876,4066,4054,4065,4066,-63,0,0,-50,-8,-63,-1
882,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
887,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
892,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
897,4066,4055,4066,4065,0,-63,0,-50,-8,-63,-1
902,4065,4054,4065,4065,0,-63,0,-50,-8,-63,-1
907,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
912,4067,4055,4064,4066,-63,0,0,-50,-8,-63,-1
